Experience,Education,PreviousJobs,Skills,Hired
5,Bachelor's,2,Programming,1
3,Master's,1,Data Analysis,0
7,Bachelor's,3,Management,1
4,High School,0,Marketing,0
6,Bachelor's,2,Programming,1
2,Master's,1,Data Analysis,0
8,Bachelor's,3,Management,1
4,High School,0,Marketing,0
7,Bachelor's,2,Programming,1
3,Master's,1,Data Analysis,0
5,Bachelor's,3,Management,1
2,High School,0,Marketing,0
6,Bachelor's,2,Programming,1
3,Master's,1,Data Analysis,0
8,Bachelor's,3,Management,1
4,High School,0,Marketing,0
7,Bachelor's,2,Programming,1
3,Master's,1,Data Analysis,0
5,Bachelor's,3,Management,1
2,High School,0,Marketing,0
6,Bachelor's,2,Programming,1
3,Master's,1,Data Analysis,0
8,Bachelor's,3,Management,1
4,High School,0,Marketing,0
7,Bachelor's,2,Programming,1
3,Master's,1,Data Analysis,0
5,Bachelor's,3,Management,1
2,High School,0,Marketing,0
6,Bachelor's,2,Programming,1
3,Master's,1,Data Analysis,0
8,Bachelor's,3,Management,1
4,High School,0,Marketing,0
7,Bachelor's,2,Programming,1
3,Master's,1,Data Analysis,0
5,Bachelor's,3,Management,1
2,High School,0,Marketing,0
6,Bachelor's,2,Programming,1
3,Master's,1,Data Analysis,0
8,Bachelor's,3,Management,1
4,High School,0,Marketing,0
7,Bachelor's,2,Programming,1
3,Master's,1,Data Analysis,0
5,Bachelor's,3,Management,1
2,High School,0,Marketing,0
6,Bachelor's,2,Programming,1
3,Master's,1,Data Analysis,0
8,Bachelor's,3,Management,1
4,High School,0,Marketing,0
7,Bachelor's,2,Programming,1
3,Master's,1,Data Analysis,0
5,Bachelor's,3,Management,1
2,High School,0,Marketing,0
6,Bachelor's,2,Programming,1
3,Master's,1,Data Analysis,0
8,Bachelor's,3,Management,1
4,High School,0,Marketing,0
